Koide Q scan — all quark triplets with sign and inverse variations
Target Q = 2/3 = 0.666667
Quark masses (PDG 2024 MSbar, MeV): u=2.16, d=4.67, s=93.4, c=1270, b=4183, t=162500

Total cases enumerated: 623
  Dimensionally valid   (n_inv=0 or 3, all MeV^{+/-1/2}): 151
  Dimensionally INVALID (n_inv=1 or 2, mixes MeV^{+1/2} and MeV^{-1/2}): 472 [marked *]

NOTE: Mixed triples (n_inv=1 or 2) sum sqrt(m) and 1/sqrt(m) with
      incompatible dimensions -- Q has no physical meaning for these.
      UNIT DEPENDENCE TEST: Q(s,c,1/b) = 0.6639 in MeV but 0.4340 in GeV.
      The 'near-2/3' values for mixed triples are a MeV-unit artifact.
      All-direct and all-inverse Q values are unit-independent (scale-invariant).

Legend:
  1/x  = inverse mass used for quark x
  -x   = negative sqrt (sign flip in Koide root)
  n_inv = number of inverted quarks, n_neg = number with negative sqrt
  *    = dimensionally invalid (mixed direct and inverse)

Rank  Triplet                                   Q      |Q-2/3|  n_inv  n_neg   dim
25    (u, d, s)                          0.567043     0.099624   all-direct
26    (u, -b, -t)                        0.766532     0.099865   all-direct
27    (d, -c, -b)                        0.566510     0.100157   all-direct
28    (d, -b, -t)                        0.768821     0.102154   all-direct
29    (u, -c, -b)                        0.558356     0.108310   all-direct
30    (1/u, 1/s, -1/t)                   0.775761     0.109094  all-inverse
31    (1/d, 1/s, -1/c)                   0.779063     0.112396  all-inverse
32    (1/u, 1/d, -1/c)                   0.545166     0.121501  all-inverse
33    (1/s, 1/c, 1/b)                    0.543008     0.123658  all-inverse
34    (s, -b, -t)                        0.794634     0.127968   all-direct
35    (1/u, 1/d, -1/b)                   0.532621     0.134045  all-inverse
36    (1/u, 1/s, -1/b)                   0.802586     0.135919  all-inverse
37    (u, -s, -b)                        0.805732     0.139065   all-direct
38    (u, c, b)                          0.526572     0.140094   all-direct
39    (1/s, 1/b, -1/t)                   0.807570     0.140903  all-inverse
40    (1/u, 1/d, -1/t)                   0.520389     0.146278  all-inverse
41    (d, c, b)                          0.519731     0.146936   all-direct
42    (s, c, t)                          0.814935     0.148268   all-direct
43    (1/u, 1/d, 1/t)                    0.515891     0.150775  all-inverse
44    (d, -s, -b)                        0.821722     0.155056   all-direct
45    (u, d, c)                          0.828058     0.161391   all-direct
46    (1/u, 1/d, 1/b)                    0.504570     0.162097  all-inverse
47    (1/u, 1/s, -1/c)                   0.830526     0.163859  all-inverse
48    (1/u, 1/d, 1/c)                    0.494172     0.172494  all-inverse
49    (1/d, 1/c, 1/b)                    0.839461     0.172794  all-inverse
50    (d, c, t)                          0.842452     0.175785   all-direct
